,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
07/02,256.0,264.0,269.0,265.0,267.0,269.0,269.0,273.0,274.0,262.0,261.0,259.0,269.0,263.0,259.0,274.0
07/03,258.0,259.0,252.0,274.0,269.0,267.0,272.0,269.0,275.0,259.0,262.0,263.0,270.0,269.0,257.0,271.0
07/04,263.0,264.0,255.0,275.0,263.0,269.0,268.0,269.0,277.0,264.0,269.0,256.0,256.0,276.0,260.0,274.0
07/05,256.0,267.0,269.0,273.0,261.0,268.0,274.0,269.0,273.0,258.0,286.0,260.0,259.0,269.0,261.0,274.0
07/06,265.0,265.0,257.0,276.0,261.0,269.0,267.0,269.0,269.0,266.0,276.0,263.0,261.0,280.0,269.0,263.0
07/07,257.0,267.0,251.0,268.0,257.0,273.0,269.0,263.0,269.0,262.0,274.0,269.0,265.0,272.0,267.0,266.0
07/08,268.0,272.0,262.0,264.0,264.0,274.0,265.0,267.0,276.0,269.0,280.0,272.0,257.0,271.0,269.0,262.0
07/09,266.0,270.0,258.0,271.0,266.0,271.0,269.0,264.0,279.0,270.0,277.0,263.0,269.0,267.0,271.0,274.0
07/10,268.0,267.0,259.0,269.0,269.0,278.0,266.0,281.0,286.0,269.0,272.0,263.0,269.0,269.0,262.0,267.0
07/11,268.0,270.0,269.0,276.0,262.0,269.0,259.0,266.0,282.0,273.0,269.0,260.0,266.0,271.0,263.0,274.0
07/12,264.0,270.0,258.0,274.0,271.0,274.0,262.0,269.0,278.0,272.0,273.0,266.0,264.0,269.0,261.0,275.0
07/13,274.0,274.0,251.0,273.0,267.0,274.0,260.0,263.0,274.0,276.0,269.0,267.0,261.0,279.0,269.0,273.0
07/14,264.0,274.0,250.0,269.0,265.0,267.0,261.0,267.0,269.0,273.0,274.0,269.0,265.0,288.0,269.0,281.0
07/15,265.0,272.0,264.0,275.0,267.0,269.0,259.0,271.0,281.0,270.0,275.0,264.0,262.0,271.0,269.0,278.0
07/16,260.0,275.0,262.0,279.0,257.0,261.0,269.0,271.0,276.0,271.0,272.0,269.0,269.0,266.0,269.0,274.0
07/17,260.0,271.0,256.0,277.0,269.0,262.0,271.0,270.0,281.0,269.0,274.0,271.0,264.0,267.0,284.0,278.0
07/18,258.0,269.0,257.0,278.0,270.0,268.0,269.0,267.0,278.0,265.0,282.0,267.0,269.0,265.0,278.0,274.0
07/19,254.0,270.0,261.0,268.0,269.0,265.0,260.0,273.0,281.0,265.0,271.0,263.0,263.0,269.0,272.0,275.0
07/20,265.0,272.0,265.0,281.0,264.0,269.0,261.0,264.0,287.0,273.0,269.0,263.0,260.0,275.0,263.0,275.0
07/21,269.0,277.0,272.0,273.0,273.0,273.0,265.0,269.0,269.0,276.0,274.0,275.0,265.0,269.0,268.0,279.0
07/22,271.0,273.0,270.0,272.0,273.0,269.0,260.0,275.0,278.0,275.0,277.0,257.0,257.0,262.0,269.0,274.0
07/23,273.0,273.0,264.0,267.0,278.0,261.0,269.0,270.0,269.0,268.0,275.0,269.0,265.0,272.0,266.0,274.0
07/24,271.0,272.0,260.0,269.0,274.0,261.0,268.0,270.0,285.0,269.0,280.0,272.0,261.0,270.0,269.0,273.0
07/25,267.0,273.0,265.0,273.0,269.0,268.0,269.0,263.0,284.0,280.0,277.0,275.0,269.0,271.0,266.0,274.0
07/26,261.0,274.0,273.0,263.0,268.0,264.0,257.0,272.0,289.0,269.0,272.0,274.0,274.0,269.0,258.0,277.0
07/27,268.0,277.0,268.0,273.0,264.0,269.0,261.0,277.0,283.0,278.0,269.0,268.0,261.0,277.0,270.0,274.0
07/28,271.0,281.0,265.0,278.0,260.0,274.0,264.0,269.0,279.0,274.0,272.0,277.0,268.0,269.0,273.0,276.0
07/29,266.0,280.0,267.0,279.0,262.0,269.0,265.0,276.0,274.0,277.0,269.0,271.0,269.0,271.0,269.0,268.0
07/30,261.0,284.0,264.0,268.0,258.0,262.0,269.0,270.0,269.0,267.0,278.0,269.0,273.0,277.0,274.0,279.0
07/31,269.0,276.0,258.0,276.0,270.0,269.0,275.0,280.0,278.0,270.0,279.0,260.0,267.0,272.0,269.0,277.0
08/01,272.0,278.0,265.0,281.0,256.0,269.0,272.0,281.0,276.0,270.0,283.0,269.0,272.0,271.0,271.0,274.0
08/02,270.0,282.0,270.0,275.0,272.0,277.0,259.0,276.0,277.0,272.0,269.0,272.0,265.0,276.0,262.0,280.0
08/03,275.0,282.0,266.0,283.0,264.0,267.0,272.0,274.0,275.0,282.0,272.0,272.0,272.0,273.0,270.0,273.0
08/04,265.0,279.0,266.0,276.0,272.0,259.0,267.0,272.0,272.0,285.0,270.0,275.0,268.0,272.0,265.0,287.0
08/05,263.0,271.0,260.0,274.0,264.0,272.0,262.0,273.0,283.0,289.0,272.0,268.0,277.0,267.0,279.0,277.0
08/06,255.0,280.0,272.0,273.0,273.0,265.0,263.0,272.0,280.0,283.0,273.0,276.0,272.0,272.0,277.0,280.0
08/07,265.0,278.0,261.0,270.0,267.0,272.0,263.0,271.0,285.0,276.0,274.0,266.0,272.0,273.0,272.0,279.0
08/08,266.0,273.0,265.0,265.0,263.0,261.0,268.0,265.0,272.0,278.0,284.0,272.0,270.0,272.0,270.0,272.0
08/09,263.0,279.0,264.0,272.0,269.0,266.0,258.0,273.0,284.0,272.0,283.0,269.0,264.0,275.0,272.0,272.0
08/10,264.0,279.0,262.0,277.0,276.0,270.0,272.0,277.0,292.0,277.0,284.0,282.0,272.0,273.0,268.0,273.0
08/11,260.0,283.0,270.0,274.0,272.0,264.0,267.0,277.0,289.0,272.0,281.0,280.0,271.0,272.0,264.0,272.0
08/12,262.0,280.0,265.0,277.0,261.0,272.0,273.0,273.0,284.0,276.0,272.0,278.0,265.0,280.0,268.0,273.0
08/13,256.0,272.0,265.0,276.0,272.0,275.0,273.0,272.0,292.0,275.0,279.0,276.0,270.0,272.0,261.0,262.0
08/14,265.0,275.0,268.0,272.0,273.0,265.0,272.0,265.0,284.0,274.0,272.0,275.0,271.0,280.0,272.0,264.0
08/15,267.0,274.0,265.0,269.0,261.0,266.0,274.0,269.0,272.0,266.0,270.0,272.0,273.0,284.0,274.0,272.0
08/16,270.0,270.0,266.0,276.0,264.0,272.0,268.0,270.0,278.0,276.0,269.0,276.0,265.0,282.0,272.0,277.0
08/17,265.0,276.0,266.0,273.0,271.0,276.0,272.0,262.0,276.0,269.0,275.0,272.0,272.0,268.0,273.0,273.0
08/18,260.0,285.0,261.0,269.0,272.0,270.0,267.0,271.0,277.0,272.0,283.0,269.0,268.0,273.0,284.0,279.0
08/19,265.0,272.0,263.0,272.0,268.0,277.0,272.0,267.0,274.0,266.0,272.0,266.0,272.0,276.0,275.0,273.0
08/20,268.0,285.0,272.0,272.0,272.0,267.0,265.0,267.0,277.0,268.0,288.0,269.0,271.0,272.0,281.0,277.0
08/21,269.0,281.0,272.0,281.0,268.0,272.0,264.0,272.0,274.0,272.0,272.0,273.0,271.0,276.0,275.0,278.0
08/22,263.0,278.0,269.0,278.0,263.0,272.0,267.0,272.0,272.0,269.0,274.0,275.0,269.0,272.0,271.0,268.0
08/23,268.0,267.0,271.0,270.0,266.0,272.0,257.0,268.0,278.0,272.0,277.0,273.0,268.0,268.0,272.0,264.0
08/24,269.0,274.0,259.0,267.0,263.0,271.0,272.0,265.0,272.0,267.0,274.0,272.0,268.0,276.0,271.0,261.0
08/25,271.0,266.0,257.0,272.0,270.0,261.0,268.0,269.0,284.0,272.0,279.0,282.0,268.0,273.0,272.0,264.0
08/26,265.0,270.0,259.0,277.0,262.0,268.0,272.0,258.0,275.0,265.0,280.0,277.0,272.0,277.0,276.0,273.0
08/27,266.0,271.0,262.0,274.0,272.0,277.0,266.0,265.0,281.0,272.0,272.0,273.0,272.0,272.0,275.0,269.0
08/28,272.0,277.0,257.0,282.0,265.0,272.0,267.0,258.0,270.0,277.0,272.0,272.0,265.0,281.0,272.0,273.0
08/29,268.0,275.0,266.0,268.0,272.0,274.0,271.0,272.0,276.0,276.0,275.0,270.0,266.0,272.0,265.0,272.0
08/30,265.0,272.0,260.0,268.0,272.0,272.0,267.0,264.0,282.0,280.0,272.0,266.0,261.0,275.0,272.0,270.0
08/31,271.0,276.0,269.0,266.0,262.0,266.0,271.0,267.0,272.0,267.0,283.0,272.0,274.0,271.0,278.0,272.0
09/01,269.0,273.0,270.0,274.0,265.0,269.0,259.0,268.0,283.0,271.0,279.0,275.0,263.0,277.0,269.0,279.0
09/02,270.0,277.0,269.0,274.0,262.0,269.0,269.0,261.0,278.0,266.0,275.0,269.0,269.0,272.0,270.0,275.0
09/03,267.0,279.0,267.0,271.0,269.0,261.0,263.0,268.0,277.0,269.0,270.0,268.0,266.0,269.0,268.0,275.0
09/04,266.0,282.0,268.0,275.0,267.0,271.0,269.0,269.0,274.0,273.0,275.0,270.0,269.0,271.0,264.0,275.0
09/05,266.0,285.0,278.0,272.0,269.0,275.0,270.0,269.0,279.0,270.0,270.0,274.0,265.0,269.0,270.0,283.0
09/06,266.0,278.0,275.0,266.0,262.0,269.0,269.0,268.0,273.0,282.0,269.0,262.0,265.0,262.0,264.0,281.0
09/07,271.0,282.0,269.0,276.0,260.0,265.0,266.0,269.0,277.0,274.0,270.0,272.0,267.0,269.0,264.0,279.0
09/08,272.0,279.0,279.0,274.0,263.0,269.0,259.0,272.0,278.0,280.0,269.0,265.0,259.0,273.0,269.0,286.0
09/09,272.0,282.0,260.0,270.0,258.0,268.0,269.0,273.0,269.0,264.0,269.0,269.0,271.0,280.0,261.0,281.0
09/10,267.0,275.0,262.0,275.0,261.0,270.0,277.0,274.0,285.0,269.0,278.0,264.0,266.0,280.0,269.0,276.0
09/11,262.0,279.0,263.0,283.0,267.0,272.0,269.0,259.0,275.0,271.0,281.0,269.0,269.0,273.0,260.0,275.0
09/12,259.0,267.0,272.0,278.0,269.0,262.0,273.0,265.0,280.0,269.0,280.0,269.0,275.0,269.0,259.0,269.0
09/13,261.0,275.0,266.0,269.0,255.0,269.0,263.0,267.0,269.0,268.0,269.0,266.0,272.0,278.0,268.0,275.0
09/14,255.0,277.0,268.0,269.0,269.0,262.0,269.0,269.0,275.0,265.0,277.0,271.0,267.0,269.0,260.0,270.0
09/15,259.0,269.0,259.0,269.0,264.0,263.0,264.0,261.0,275.0,269.0,269.0,273.0,265.0,280.0,269.0,271.0
09/16,257.0,274.0,262.0,267.0,270.0,261.0,271.0,263.0,269.0,259.0,279.0,269.0,268.0,274.0,260.0,272.0
09/17,258.0,273.0,262.0,269.0,269.0,269.0,262.0,269.0,272.0,261.0,279.0,281.0,270.0,266.0,269.0,275.0
09/18,257.0,278.0,261.0,277.0,264.0,269.0,269.0,270.0,275.0,273.0,278.0,269.0,269.0,267.0,262.0,275.0
09/19,259.0,282.0,263.0,275.0,269.0,264.0,278.0,272.0,278.0,269.0,274.0,269.0,269.0,271.0,262.0,277.0
09/20,265.0,269.0,261.0,273.0,265.0,269.0,269.0,267.0,273.0,278.0,277.0,271.0,269.0,268.0,267.0,275.0
09/21,260.0,275.0,261.0,268.0,269.0,274.0,276.0,273.0,273.0,268.0,277.0,268.0,256.0,269.0,273.0,284.0
09/22,263.0,269.0,258.0,269.0,265.0,269.0,271.0,272.0,271.0,270.0,269.0,255.0,256.0,276.0,261.0,282.0
09/23,260.0,278.0,256.0,270.0,264.0,270.0,271.0,269.0,269.0,267.0,280.0,266.0,261.0,269.0,252.0,277.0
09/24,266.0,273.0,257.0,275.0,265.0,269.0,266.0,266.0,275.0,271.0,274.0,258.0,254.0,269.0,269.0,271.0
09/25,260.0,274.0,256.0,272.0,260.0,281.0,269.0,259.0,269.0,269.0,278.0,269.0,262.0,266.0,252.0,272.0
09/26,262.0,264.0,262.0,269.0,269.0,271.0,264.0,263.0,269.0,269.0,275.0,272.0,263.0,262.0,269.0,266.0
09/27,267.0,270.0,253.0,266.0,262.0,269.0,269.0,253.0,261.0,267.0,272.0,268.0,269.0,264.0,259.0,275.0
09/28,264.0,264.0,269.0,269.0,263.0,268.0,268.0,255.0,270.0,269.0,268.0,267.0,273.0,269.0,254.0,267.0
09/29,267.0,273.0,253.0,269.0,258.0,269.0,260.0,262.0,269.0,268.0,269.0,266.0,262.0,274.0,272.0,275.0
09/30,262.0,281.0,257.0,269.0,269.0,273.0,260.0,269.0,270.0,262.0,270.0,265.0,259.0,269.0,263.0,263.0
10/01,264.0,273.0,259.0,264.0,259.0,259.0,255.0,265.0,267.0,265.0,259.0,265.0,258.0,274.0,259.0,253.0
10/02,258.0,270.0,262.0,266.0,253.0,274.0,262.0,264.0,259.0,265.0,275.0,259.0,255.0,264.0,268.0,272.0
10/03,259.0,260.0,257.0,266.0,259.0,259.0,260.0,263.0,275.0,268.0,265.0,265.0,259.0,256.0,259.0,266.0
10/04,261.0,259.0,257.0,273.0,254.0,259.0,259.0,256.0,270.0,265.0,271.0,259.0,259.0,257.0,268.0,266.0
10/05,259.0,254.0,259.0,268.0,259.0,272.0,254.0,261.0,270.0,259.0,267.0,266.0,261.0,261.0,265.0,272.0
10/06,263.0,259.0,258.0,269.0,252.0,259.0,259.0,255.0,267.0,266.0,273.0,262.0,259.0,267.0,267.0,266.0
10/07,257.0,262.0,259.0,259.0,259.0,263.0,259.0,259.0,273.0,266.0,265.0,266.0,262.0,259.0,267.0,270.0
10/08,258.0,255.0,254.0,259.0,255.0,259.0,258.0,258.0,268.0,266.0,259.0,258.0,260.0,261.0,262.0,278.0
10/09,255.0,260.0,259.0,261.0,250.0,274.0,259.0,259.0,259.0,260.0,270.0,256.0,269.0,259.0,261.0,269.0
10/10,250.0,253.0,266.0,265.0,259.0,259.0,257.0,259.0,263.0,264.0,266.0,256.0,274.0,257.0,259.0,270.0
10/11,247.0,262.0,258.0,258.0,257.0,272.0,259.0,250.0,259.0,260.0,271.0,259.0,275.0,255.0,259.0,257.0
10/12,251.0,251.0,255.0,254.0,259.0,267.0,254.0,254.0,262.0,259.0,267.0,264.0,265.0,262.0,259.0,260.0
10/13,264.0,254.0,261.0,257.0,251.0,259.0,259.0,251.0,259.0,258.0,270.0,266.0,259.0,256.0,261.0,266.0
10/14,262.0,249.0,259.0,257.0,259.0,264.0,256.0,245.0,269.0,259.0,266.0,263.0,261.0,259.0,254.0,262.0
10/15,258.0,250.0,258.0,259.0,251.0,259.0,248.0,247.0,266.0,257.0,270.0,258.0,258.0,253.0,265.0,266.0
10/16,256.0,257.0,254.0,264.0,254.0,263.0,261.0,259.0,268.0,252.0,271.0,267.0,266.0,259.0,266.0,266.0
10/17,260.0,249.0,254.0,259.0,259.0,259.0,258.0,255.0,271.0,259.0,259.0,262.0,261.0,265.0,259.0,266.0
10/18,262.0,252.0,256.0,264.0,247.0,272.0,261.0,253.0,259.0,258.0,266.0,259.0,261.0,258.0,267.0,269.0
10/19,256.0,243.0,257.0,259.0,259.0,259.0,259.0,261.0,256.0,259.0,262.0,255.0,267.0,258.0,259.0,265.0
10/20,251.0,258.0,261.0,259.0,245.0,270.0,259.0,255.0,261.0,263.0,262.0,259.0,259.0,244.0,269.0,266.0
10/21,249.0,257.0,258.0,261.0,259.0,268.0,265.0,255.0,256.0,259.0,253.0,261.0,259.0,244.0,279.0,268.0
10/22,250.0,259.0,253.0,253.0,244.0,275.0,259.0,246.0,250.0,269.0,259.0,255.0,259.0,250.0,260.0,266.0
10/23,251.0,257.0,255.0,250.0,259.0,270.0,262.0,259.0,255.0,258.0,252.0,254.0,260.0,259.0,256.0,266.0
10/24,255.0,252.0,251.0,259.0,247.0,259.0,260.0,247.0,254.0,254.0,259.0,245.0,264.0,251.0,260.0,263.0
10/25,247.0,249.0,254.0,250.0,237.0,266.0,259.0,259.0,259.0,257.0,259.0,254.0,260.0,259.0,260.0,263.0
10/26,252.0,244.0,256.0,251.0,246.0,259.0,264.0,254.0,256.0,261.0,254.0,253.0,249.0,253.0,259.0,261.0
10/27,249.0,259.0,254.0,249.0,242.0,266.0,264.0,250.0,259.0,252.0,262.0,259.0,259.0,248.0,262.0,261.0
10/28,249.0,254.0,260.0,259.0,259.0,259.0,260.0,250.0,257.0,259.0,253.0,262.0,264.0,250.0,259.0,256.0
10/29,244.0,258.0,254.0,246.0,247.0,256.0,259.0,251.0,251.0,256.0,256.0,263.0,259.0,252.0,257.0,266.0
10/30,250.0,250.0,259.0,242.0,259.0,254.0,267.0,247.0,255.0,259.0,251.0,261.0,255.0,259.0,250.0,262.0
10/31,253.0,247.0,250.0,259.0,252.0,259.0,263.0,246.0,243.0,258.0,259.0,254.0,250.0,250.0,257.0,266.0
11/01,250.0,252.0,257.0,253.0,250.0,262.0,249.0,259.0,255.0,257.0,257.0,250.0,249.0,249.0,256.0,261.0
11/02,252.0,254.0,259.0,249.0,251.0,249.0,260.0,249.0,259.0,259.0,249.0,250.0,248.0,254.0,249.0,252.0
11/03,250.0,253.0,253.0,253.0,248.0,272.0,259.0,241.0,249.0,240.0,258.0,249.0,254.0,249.0,260.0,265.0
11/04,249.0,253.0,250.0,251.0,249.0,249.0,252.0,250.0,256.0,249.0,255.0,251.0,252.0,248.0,249.0,254.0
11/05,247.0,251.0,251.0,245.0,246.0,267.0,249.0,247.0,249.0,258.0,256.0,249.0,249.0,250.0,257.0,256.0
11/06,246.0,244.0,255.0,244.0,249.0,269.0,255.0,249.0,253.0,249.0,250.0,243.0,251.0,252.0,253.0,263.0
11/07,252.0,253.0,254.0,249.0,247.0,266.0,249.0,248.0,246.0,252.0,249.0,243.0,249.0,253.0,257.0,256.0
11/08,248.0,249.0,254.0,250.0,249.0,262.0,254.0,249.0,251.0,247.0,254.0,256.0,250.0,249.0,246.0,258.0
11/09,249.0,248.0,251.0,254.0,245.0,249.0,254.0,245.0,249.0,246.0,249.0,248.0,248.0,248.0,249.0,261.0
11/10,242.0,245.0,249.0,248.0,249.0,258.0,259.0,249.0,249.0,239.0,259.0,253.0,249.0,249.0,247.0,255.0
11/11,242.0,243.0,242.0,252.0,248.0,249.0,255.0,241.0,253.0,249.0,257.0,246.0,245.0,246.0,249.0,254.0
11/12,236.0,249.0,247.0,252.0,247.0,254.0,257.0,239.0,249.0,247.0,257.0,273.0,249.0,243.0,245.0,257.0
11/13,243.0,243.0,251.0,250.0,249.0,254.0,259.0,240.0,258.0,249.0,250.0,250.0,257.0,251.0,249.0,255.0
11/14,246.0,247.0,242.0,251.0,240.0,255.0,249.0,249.0,250.0,252.0,253.0,251.0,249.0,253.0,255.0,256.0
11/15,243.0,250.0,248.0,250.0,249.0,245.0,251.0,238.0,255.0,249.0,249.0,251.0,253.0,249.0,245.0,258.0
11/16,246.0,247.0,245.0,251.0,246.0,249.0,243.0,241.0,257.0,250.0,249.0,249.0,248.0,252.0,243.0,256.0
11/17,237.0,245.0,247.0,239.0,249.0,257.0,253.0,249.0,256.0,249.0,244.0,252.0,247.0,249.0,253.0,255.0
11/18,239.0,245.0,241.0,251.0,240.0,249.0,257.0,243.0,252.0,253.0,249.0,248.0,248.0,253.0,249.0,251.0
11/19,237.0,247.0,241.0,256.0,238.0,261.0,263.0,244.0,249.0,239.0,249.0,249.0,243.0,246.0,256.0,259.0
11/20,239.0,241.0,242.0,248.0,242.0,249.0,252.0,240.0,250.0,249.0,242.0,248.0,246.0,251.0,249.0,250.0
11/21,242.0,244.0,245.0,249.0,244.0,269.0,249.0,233.0,251.0,239.0,248.0,249.0,249.0,246.0,252.0,256.0
11/22,241.0,245.0,249.0,252.0,249.0,269.0,241.0,240.0,251.0,249.0,244.0,245.0,249.0,246.0,256.0,258.0
11/23,240.0,249.0,241.0,250.0,245.0,269.0,249.0,239.0,240.0,242.0,249.0,241.0,249.0,243.0,248.0,256.0
11/24,235.0,244.0,248.0,246.0,249.0,260.0,244.0,239.0,250.0,234.0,245.0,246.0,250.0,249.0,242.0,261.0
11/25,245.0,243.0,244.0,246.0,244.0,249.0,238.0,240.0,243.0,240.0,249.0,246.0,244.0,241.0,254.0,256.0
11/26,236.0,245.0,245.0,245.0,234.0,254.0,238.0,249.0,249.0,232.0,254.0,249.0,247.0,249.0,249.0,252.0
11/27,237.0,241.0,241.0,250.0,241.0,249.0,239.0,243.0,249.0,237.0,252.0,249.0,248.0,251.0,249.0,248.0
11/28,237.0,248.0,242.0,249.0,238.0,253.0,242.0,240.0,249.0,235.0,247.0,249.0,249.0,242.0,248.0,248.0
11/29,236.0,243.0,244.0,249.0,249.0,248.0,252.0,243.0,249.0,249.0,235.0,248.0,252.0,242.0,249.0,256.0
11/30,238.0,246.0,240.0,249.0,237.0,253.0,249.0,242.0,241.0,240.0,247.0,247.0,249.0,247.0,243.0,256.0
12/01,234.0,246.0,248.0,247.0,245.0,249.0,256.0,248.0,255.0,245.0,249.0,253.0,253.0,245.0,240.0,253.0
12/02,242.0,243.0,244.0,251.0,232.0,245.0,253.0,247.0,251.0,248.0,245.0,241.0,246.0,255.0,245.0,254.0
12/03,236.0,251.0,250.0,246.0,245.0,245.0,255.0,245.0,255.0,234.0,246.0,247.0,245.0,245.0,246.0,254.0
12/04,248.0,246.0,245.0,250.0,232.0,245.0,251.0,244.0,259.0,247.0,245.0,245.0,237.0,255.0,245.0,246.0
12/05,247.0,243.0,249.0,250.0,225.0,252.0,256.0,241.0,245.0,244.0,242.0,245.0,245.0,252.0,243.0,247.0
12/06,245.0,241.0,249.0,246.0,233.0,245.0,243.0,238.0,258.0,247.0,231.0,242.0,246.0,249.0,245.0,256.0
12/07,237.0,242.0,247.0,246.0,229.0,257.0,245.0,231.0,257.0,249.0,240.0,245.0,245.0,243.0,253.0,254.0
12/08,238.0,238.0,254.0,244.0,245.0,257.0,254.0,240.0,256.0,245.0,235.0,241.0,249.0,242.0,246.0,262.0
12/09,242.0,241.0,248.0,251.0,237.0,259.0,245.0,241.0,255.0,240.0,245.0,239.0,245.0,253.0,248.0,254.0
12/10,234.0,243.0,253.0,243.0,245.0,261.0,251.0,245.0,250.0,245.0,248.0,247.0,248.0,245.0,243.0,262.0
12/11,244.0,239.0,248.0,242.0,229.0,245.0,247.0,239.0,246.0,249.0,245.0,235.0,244.0,244.0,248.0,257.0
12/12,241.0,237.0,245.0,244.0,217.0,263.0,252.0,245.0,245.0,252.0,261.0,238.0,245.0,245.0,241.0,255.0
12/13,242.0,224.0,245.0,243.0,213.0,245.0,243.0,240.0,244.0,246.0,252.0,239.0,243.0,244.0,245.0,253.0
12/14,244.0,238.0,236.0,245.0,218.0,257.0,252.0,239.0,245.0,247.0,251.0,245.0,245.0,242.0,247.0,256.0
12/15,239.0,241.0,242.0,247.0,245.0,258.0,255.0,241.0,245.0,245.0,245.0,236.0,254.0,244.0,245.0,254.0
12/16,240.0,253.0,242.0,248.0,229.0,250.0,245.0,243.0,245.0,240.0,243.0,234.0,245.0,242.0,246.0,254.0
12/17,239.0,245.0,245.0,233.0,245.0,249.0,247.0,242.0,248.0,245.0,242.0,243.0,251.0,245.0,238.0,254.0
12/18,243.0,244.0,243.0,243.0,234.0,245.0,249.0,245.0,250.0,240.0,245.0,243.0,255.0,251.0,238.0,254.0
12/19,231.0,242.0,245.0,238.0,245.0,242.0,247.0,245.0,246.0,237.0,244.0,238.0,254.0,245.0,238.0,256.0
12/20,236.0,235.0,244.0,244.0,231.0,245.0,240.0,244.0,245.0,245.0,245.0,241.0,252.0,258.0,245.0,249.0
12/21,232.0,241.0,243.0,234.0,224.0,256.0,251.0,239.0,245.0,237.0,242.0,245.0,250.0,259.0,245.0,258.0
12/22,237.0,242.0,243.0,245.0,232.0,245.0,244.0,238.0,252.0,245.0,239.0,243.0,250.0,250.0,245.0,257.0
12/23,241.0,247.0,240.0,254.0,233.0,254.0,245.0,231.0,248.0,261.0,247.0,245.0,245.0,246.0,245.0,254.0
12/24,238.0,239.0,237.0,248.0,245.0,254.0,244.0,228.0,252.0,245.0,246.0,245.0,251.0,240.0,237.0,252.0
12/25,238.0,245.0,235.0,243.0,232.0,261.0,245.0,232.0,246.0,256.0,245.0,241.0,245.0,236.0,242.0,254.0
12/26,232.0,241.0,241.0,240.0,245.0,256.0,241.0,245.0,246.0,257.0,241.0,245.0,249.0,245.0,242.0,253.0
12/27,237.0,244.0,240.0,238.0,236.0,245.0,244.0,237.0,249.0,254.0,245.0,243.0,248.0,236.0,247.0,252.0
12/28,243.0,248.0,237.0,242.0,230.0,258.0,248.0,245.0,245.0,252.0,246.0,245.0,252.0,245.0,251.0,252.0
12/29,240.0,246.0,237.0,240.0,233.0,245.0,253.0,236.0,243.0,250.0,256.0,239.0,249.0,239.0,245.0,248.0
12/30,243.0,244.0,244.0,245.0,230.0,252.0,245.0,233.0,245.0,248.0,245.0,245.0,245.0,235.0,246.0,254.0
12/31,242.0,234.0,244.0,248.0,245.0,256.0,249.0,227.0,250.0,245.0,237.0,244.0,249.0,241.0,245.0,249.0
